CKXLID,XLMC,CKJGID,SZMC,MZMC,SZSCSJ,SZMCSJ,MZSCSJ,MZMCSJ,SXZDZH,XXZLC,XGSJ,COMPANYNM,FLAG,ACTION_FLAG
188905791,36,1049530,左安路,天坛南门,5:00,23:00,5:00,23:00,11,10.66,2019/8/6 16:24,电车,1,0
188905792,639,1048926,黎各庄,北京站东,5:30,21:00,5:30,22:00,32,30.48,2018/8/7 11:19,客二,2,6
188905793,659,1052503,酒仙桥商场公交场站,黎各庄,5:30,22:00,6:00,22:00,21,18.86,2019/8/6 16:25,客二,2,6
188905794,815快,1046886,诸葛店,郎家园,4:50,21:00,5:50,22:00,38,36.81,2020/8/4 20:25,客五,1,0
188905796,880快,1051128,沙城客运站,地铁回龙观站,5:00,18:00,6:30,18:00,101,99.62,2018/8/7 11:19,客八,1,0
188905797,898,182470733,涿鹿,地铁朱辛庄站,5:00,17:00,7:00,17:00,123,121.93,2020/6/21 14:37,客八,1,0
188905798,899,182470734,下花园,地铁朱辛庄站,5:00,17:00,5:30,17:30,118,116.39,2020/6/21 14:37,客八,1,0
5851512,56,1050805,大观园公交场站,动物园枢纽站,5:30,22:30,6:00,23:00,8,0,2020/6/28 1:02,电车,2,6
5851254,555,1047718,同心庄公交场站,宋家庄枢纽站,5:30,21:30,6:00,22:00,14,12.94,2019/8/30 1:06,客三,2,6
270846438,快速直达专线98,472739739,苏家坨公交场站,地铁西二旗站,,,,,25,25.4,2018/8/7 11:19,客八,1,0
270846439,快速直达专线95,372273805,地铁角门西站,六圈,,,,,1,0,2020/2/26 18:43,客三,1,0
270846440,快速直达专线94,373434250,莲花晴园,达官营,,,,,1,0,2020/6/28 1:02,电车,2,6
271939282,快速直达专线92,373454302,天香颐北里,地铁海淀五路居站,,,,,1,0,2020/2/26 18:43,电车,1,0
271939284,快速直达专线96,817674002,焦庄桥西,将台路口东,,,,,1,0,2020/2/26 18:43,客二,1,0
5815064,358,1050702,石府路,黄南苑小区,5:00,22:00,5:30,22:30,11,10.15,2019/11/22 1:05,客四,2,6
5818419,641,1049654,金盏村,和平西桥,5:30,21:40,6:30,22:40,22,20.45,2019/10/9 1:07,客二,2,6
5818020,633,1052132,杨坨,环保科技园,5:00,21:00,5:50,22:00,17,15.05,2018/8/7 11:19,客四,1,0
5817158,621,1047399,半截塔村,大西洋新城南门,5:30,22:00,6:20,23:00,18,16.32,2018/8/7 11:19,客一,1,0
5832594,493,1051857,朝凤庵村,昌平南桥北,5:30,22:00,6:00,22:30,10,8.81,2019/8/6 16:24,客一,2,6
5824968,856,1049844,南彩汽车站,兴寿北站,5:00,20:00,5:00,20:30,44,42.73,2019/8/30 1:06,客七,2,6
5824745,850快,1051215,马坡花园,东直门,5:00,19:00,6:30,20:30,46,44.28,2020/5/9 17:32,客七,1,0
5823993,837,1052978,房山汽车站,燕化春光,6:00,21:00,6:30,21:30,12,11.01,2020/1/18 1:02,客六,2,6
5823817,833,1052844,河北庄,送变电公司路口西,5:00,20:30,6:15,21:40,31,29.75,2020/7/26 1:05,客六,2,6
5823511,828,1052268,浙商新城,永定门长途汽车站,4:50,17:00,7:00,19:30,94,92.45,2019/8/6 16:24,客五,1,0
5822707,812,1053035,燕郊冶金一局,八王坟西,5:15,20:50,6:15,21:50,38,36.62,2018/8/7 11:19,客五,1,0
5826369,884,1052944,朝凤庵村,北街家园六区西门,5:30,19:00,6:30,20:00,22,20.55,2019/8/6 16:24,客八,2,6
5864273,专81,1053023,北苑公交场站,东小口村委会,6:00,22:00,5:30,21:30,11,9.36,2018/8/7 11:19,客一,1,0
5863973,专60,1048474,地铁上地站,安宁庄东路南口,6:00,22:00,6:10,22:10,4,2.72,2018/8/7 11:19,客四,1,0
5863372,专49,1048013,朱辛庄公交场站,沙河,5:30,22:40,5:50,23:00,7,7.33,2020/6/26 1:04,客一,2,6
5863252,专45,1048303,沙河,北街家园八区北,6:00,9:30,6:30,10:00,9,7.59,2018/8/7 11:19,客一,1,0
5862949,专40,1046760,慧忠里,林萃东路,6:30,9:30,6:30,9:30,8,6.79,2018/8/7 11:19,客一,1,0
5862094,专22,1051973,望和桥,望和桥,7:00,9:30,,,,3.92,2018/8/7 11:19,电车,1,0
5861841,专169,1049188,西红门公交场站,欣旺北大街,6:00,9:30,6:15,9:45,5,3.82,2018/8/7 11:19,客三,1,0
7284389,快速直达专线30,472737587,狼垡东桥北,内环西路北口,,,,,1,0,2020/2/26 18:43,客六,1,0
5857118,快速直达专线3,372263957,云岗北区,六里桥东,,,,,1,0,2020/2/26 18:43,客三,1,0
6935690,快速直达专线16,178343842,海特花园,航天桥西,,,,,1,0,2020/2/26 18:43,客四,1,0
5856870,快速公交3线区间,,安定门,温都水城,6:00,23:00,5:00,22:00,23,21.27,2017/12/12 17:12,电车,1,0
5856684,快速公交2线,1048467,杨闸,朝阳门,5:00,23:00,5:00,23:00,16,14.7,2019/9/26 0:59,电车,2,6
5855160,Y31,1053188,延庆南菜园总站,延庆王庄,6:30,16:00,8:10,17:40,54,52.19,2019/12/28 0:58,客八,2,6
5869937,Y27,1053220,延庆南菜园,马家店,7:00,15:00,8:40,16:40,67,64.41,2019/8/6 16:26,客八,1,0
5869926,Y22,1049338,延庆南菜园总站,上虎叫村,5:20,17:10,6:50,18:40,43,42.87,2019/8/6 16:26,客八,1,0
5869924,Y20,1049334,延庆火车站北广场,康西草原南门,6:05,17:00,7:05,18:00,23,21.31,2019/8/6 16:26,客八,1,0
5869913,Y15,1050998,延庆火车站北广场,香营卫生院,6:30,17:00,7:30,18:00,35,33.05,2019/8/6 16:26,客八,1,0
5830517,462,1049973,二拨子新村,新都东站,5:20,22:00,6:00,22:40,16,14.45,2019/8/6 16:25,客一,2,6
181976750,快速直达专线39,376319961,温泉,地铁西二旗站,,,,,1,0,2020/2/26 18:43,客四,1,0
181976751,快速直达专线37,372648512,昌平东关,海淀大街西口,,,,,1,0,2020/2/26 18:43,客一,1,0
181976752,快速直达专线38,372648507,碧水庄园,知春里东站,,,,,1,0,2020/2/26 18:43,客一,1,0
240040622,快速直达专线61,655815242,林荫大道,大北窑东,,,,,1,0,2020/2/26 18:43,客五,1,0
5847236,990,6354900,小红门牌坊村,地铁公益西桥站,5:30,21:00,6:10,21:50,17,16.24,2019/12/30 1:01,客五,2,6
5846842,985,1050978,小红门牌坊村,地铁望京西站,5:10,19:30,6:50,21:00,30,28.48,2020/1/17 1:01,客五,2,6
5845539,968,1046918,海子角,北京西站南广场,5:00,21:00,6:00,22:00,28,24.98,2018/8/7 11:19,客六,1,0
5845145,962,6354873,朝凤庵村,解放村桥东,5:30,19:50,6:30,20:50,26,24.36,2019/8/6 16:26,客八,1,0
5844752,957,1052998,大兴一职,北京站东,4:50,19:30,6:15,21:20,35,35.89,2020/1/17 1:00,客六,2,6
5828351,927,1053047,南刘庄,木樨园桥东,4:30,19:10,6:15,20:55,48,47.47,2020/1/17 1:01,客五,2,6
5828133,922,6355013,朝凤庵村,天通苑北枢纽站,5:30,19:30,6:00,20:00,37,35.98,2019/10/15 17:22,客八,1,0
5827872,918,1051373,兴谷路公交场站,东直门枢纽站,4:20,19:30,5:40,21:30,84,82.4,2020/7/17 1:04,客七,2,6
5861229,专121,1049078,二拨子新村,地铁回龙观站,6:00,9:30,6:20,10:00,7,5.29,2018/8/7 11:19,客一,1,0
5860852,专116,6302414,地铁善各庄站,南皋公交场站,5:30,22:00,5:25,22:00,10,8.21,2019/12/21 0:58,客一,2,6
5869865,M12,1049555,斋堂公交场站,柏峪村,,,,,16,15.4,2019/8/6 16:26,客八,1,0
5849668,529,1051467,翠海明苑,北京南站南广场,6:00,22:30,5:30,23:00,13,11.26,2019/9/25 15:49,客三,1,0
5849288,523,1050649,科创十六街,地铁荣京东街站,5:30,22:30,6:00,23:00,13,11.77,2018/8/7 11:19,客三,1,0
5826876,892,1046832,地铁苹果园站,洪水口,6:30,17:50,6:00,16:00,103,101.98,2020/7/27 1:07,客八,2,6
5814933,353,1051592,万源路,富丰桥西,5:00,21:00,5:50,22:00,16,18.33,2019/12/9 0:58,客三,2,6
5842487,322,1049080,古城西桥公交场站,四惠枢纽站,4:50,22:50,5:10,23:00,21,18.36,2018/8/7 11:19,客二,2,6
5842153,317,1052044,怡乐南街公交场站,小圣庙南站,5:05,22:00,5:50,22:40,17,15.73,2018/8/7 11:19,客二,2,6
5841754,312,1048905,东小营公交场站,马圈,5:00,22:00,5:10,23:00,30,27.05,2019/12/28 0:58,客二,2,6
5840123,24,1051859,左家庄,北京站,5:00,23:00,5:00,23:00,9,7.94,2020/2/26 18:43,电车,1,0
5839735,18,1051865,国际展览中心,惠新东桥西,5:00,23:00,5:00,23:00,14,11.9,2020/2/26 18:43,客一,1,0
5821185,701,1047377,大西洋新城南门,青塔西路北站,5:30,22:00,5:30,22:00,35,31.59,2018/8/7 11:19,客一,2,6
5820860,695,1052086,时代庄园北站,动物园枢纽站,5:20,22:00,6:00,23:00,26,24.02,2019/8/26 1:05,客一,2,6
5866796,夜24,1051497,和平东桥南,北京南站南广场,23:20,4:50,23:20,4:50,24,23.7,2019/8/6 16:24,电车,1,0
5866118,夜15,1051495,北京南站南广场,北京西站南广场,23:20,4:50,23:20,4:50,12,10.05,2020/7/26 1:05,电车,2,6
5865745,夜10内,6354836,东直门,东直门,23:20,4:50,,,,24.98,2020/2/26 18:43,客二,1,0
271939296,快速直达专线89,332336419,中门寺生态园,金安桥东,,,,,1,0,2020/4/20 11:51,客四,2,6
5854276,602,6354770,丰台体育中心,老君堂北站,5:30,22:00,6:00,22:30,28,26.71,2019/8/6 16:24,客三,2,6
5838597,12,1047725,五间楼,五间楼,5:00,23:00,,,,18.63,2020/2/26 18:43,电车,1,0
271939300,快速直达专线74,372319078,垡头,大北窑南,,,,,1,0,2019/12/20 23:38,客二,1,0
271939301,快速直达专线73,372653603,回龙观村西区,地铁龙泽站,,,,,1,0,2020/2/26 18:43,客一,1,0
271939302,快速直达专线72,372185714,顺义半壁店,东直门,,,,,1,0,2020/2/26 18:43,客七,1,0
271939303,快速直达专线71,372653477,定福皇庄,西三旗桥北,,,,,1,0,2020/2/26 18:43,客一,1,0
271939304,快速直达专线70,372319057,东坝,地铁黄渠站,,,,,1,0,2020/2/26 18:43,客二,1,0
271939305,快速直达专线69,692346557,单店,大北窑北,,,,,1,0,2020/2/26 18:43,客二,1,0
271939306,快速直达专线68,280060743,滨河小区,六里桥北里,,,,,1,0,2020/2/26 18:43,客八,1,0
271939307,快速直达专线67,280060742,滨河小区,金安桥东,,,,,1,0,2020/4/20 11:51,客八,2,6
271939308,快速直达专线66,372319077,南口西站,德胜门西,,,,,1,0,2019/12/17 21:58,客八,1,0
271939309,快速直达专线65,372185716,马坡花园,地铁芍药居站,,,,,1,0,2020/2/26 18:43,客七,1,0
271939310,快速直达专线64,472737655,地铁大葆台站,地铁大葆台站,,,,,,,2020/2/26 18:43,客六,1,0
271939311,快速直达专线63,372301182,窦店汽车站,六里桥东,,,,,1,0,2020/2/26 18:43,客六,1,0
271939313,快速直达专线58,379017425,天通北苑,天通西苑南,,,,,1,0,2020/2/26 18:43,客一,1,0
271939314,快速直达专线57,379017423,顾家庄桥西,地铁立水桥南站,,,,,1,0,2020/2/26 18:43,客一,1,0
271939317,快速直达专线54,556559009,刘庄北站,大北窑东,,,,,1,0,2020/2/26 18:43,客二,1,0
271939318,快速直达专线53,556559105,将台路口东,孙家村,,,,,1,0,2020/2/26 18:43,客二,1,0
